image-ID,cycle,z-step,frame,accum,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,amp,background11,background12,background21,background22,chisq,particle-ID,vis-probe
188,1,1,88,2,1198.2,1,1,0,0,1,1,1,1,6731.83,40071.8,11748.1,1,1,1,1,0,0.144446,-1,0
189,1,1,89,2,1070.34,1,1,0,0,1,1,1,1,6717.68,40073.8,11675.3,1,1,1,1,0,0.15283,-1,0
195,1,1,95,2,1278.35,1,1,0,0,1,1,1,1,7834.9,36222.2,10910.1,1,1,1,1,0,0.139845,-1,0
196,1,1,96,2,1652.53,1,1,0,0,1,1,1,1,7320.65,34878.1,10443.8,1,1,1,1,0,0.122997,-1,0
196,1,1,96,2,1686.77,1,1,0,0,1,1,1,1,6597.55,34973.3,10436.7,1,1,1,1,0,0.121742,-1,0
196,1,1,96,2,1290.03,1,1,0,0,1,1,1,1,7840.01,36244.2,10853.9,1,1,1,1,0,0.13921,-1,0
196,1,1,96,3,1432.91,1,1,0,0,1,1,1,1,8600.68,38100.6,11586.8,1,1,1,1,0,0.132087,-1,0
197,1,1,97,2,1615.75,1,1,0,0,1,1,1,1,6601.08,34978.2,10435,1,1,1,1,0,0.124389,-1,0
197,1,1,97,2,1265.92,1,1,0,0,1,1,1,1,7833.28,36223.5,10877.3,1,1,1,1,0,0.140529,-1,0
197,1,1,97,3,1901.31,1,1,0,0,1,1,1,1,8616.09,38110.4,11558.1,1,1,1,1,0,0.114668,-1,0
198,1,1,98,2,1648.95,1,1,0,0,1,1,1,1,7610.46,35727.3,10620.7,1,1,1,1,0,0.123131,-1,0
198,1,1,98,2,1939.32,1,1,0,0,1,1,1,1,6590.93,34975.9,10462.7,1,1,1,1,0,0.113539,-1,0
199,1,1,99,2,536.273,1,1,0,0,1,1,1,1,11069.7,39730.2,11256.2,1,1,1,1,0,0.215912,-1,0
199,1,1,99,2,1914.68,1,1,0,0,1,1,1,1,7320.63,34881.6,10469.1,1,1,1,1,0,0.114267,-1,0
199,1,1,99,2,1425.77,1,1,0,0,1,1,1,1,6608.46,34958.8,10353.9,1,1,1,1,0,0.132418,-1,0
199,1,1,99,2,1085.1,1,1,0,0,1,1,1,1,8607.58,38113.6,11608.5,1,1,1,1,0,0.151787,-1,0
204,2,1,4,2,749.551,1,1,0,0,1,1,1,1,6858.45,41136.6,11824.2,1,1,1,1,0,0.182629,-1,0
